Valor ,ISIN,UBS Long Name,Issuer Name,Asset Class,Instrument Category,Sub-Asset Class ,Instrument Ccy
12438228,SG2C97968151,Reg.shs Raffles Education Limited (NR7),Raffles Education Limited,Equities,Direct investments,Common stock,SGD
20086074,ID1000125909,Reg.shs PT Matahari Putra Prima Tbk               (MPPA),PT Matahari Putra Prima Tbk,Equities,Direct investments,Common stock,IDR
26033639,KYG9843W1125,Reg.shs Yestar Healthcare Holdings Co. Ltd (2393),Yestar Healthcare Holdings Co Ltd,Equities,Direct investments,Common stock,HKD
38584636,US7477981069,Sponsored American Deposit Receipt Qudian Inc. (Repr 1 shs  -A-  )  (QD),Qudian Inc,Equities,Direct investments,Common stock,USD
591600,CH0005916009,UBS Fixed Term Deposit,FESTGELDANLAGE UBS AG,Liquidity,Direct investments,Fixed deposit,CHF
411161,GB0005405286,Reg.shs HSBC Holdings Plc (5),HSBC Holdings PLC,Equities,Direct investments,Common stock,USD
2195292,CNE1000002J7,Reg.shs -H- Cosco Shipping Holdings Co. Ltd (1919),COSCO SHIPPING Holdings Co Ltd,Equities,Direct investments,Common stock,CNY
27931966,CNE100001ZT0,Shs -H- Legend Holdings Ltd Unitary 144A/Reg S (3396),Legend Holdings Ltd,Equities,Direct investments,Common stock,CNY
36415859,LU1599185722,UBS(Lux)Strategy SICAV- Systematic Allocation Portfolio Defensive (USD) Q-acc,UBS (Lux) Strategy SICAV - Systematic Allocation Portfolio Defensive (USD),Others,Pooled vehicles,Asset all funds,USD
41207670,LU1807302739,UBS (Lux) Equity SICAV - All China (USD) Q-acc,UBS (Lux) Equity SICAV - All China (USD),Equities,Pooled vehicles,Common stock,USD
56801627,IL0011684185,Reg.shs JFrog Ltd. (FROG),JFrog Ltd.,Equities,Direct investments,Common stock,ILS
132899372,XD1328993724,Apollo Debt Solutions BDC iCapital Offshore Access Fund SPC SP 1 I-B-series C-dis,Apollo Debt Solutions BDC iCapital Offshore Access Fund SPC,HF&PM,Pooled vehicles,Private markets,USD
29558853,CH0295588534,Money Market Ct. UBS London 2016-13.01.17 Ext to 02.06.25 Ext. Money Market Certificate,"UBS AG, London Branch",Liquidity,Direct investments,MM investments,SGD
984192,US2546871060,Reg.shs  The Walt Disney Company Disney Serie     (DIS),The Walt Disney Company,Equities,Direct investments,Common stock,USD
2340620,LU0235996351,UBS (Lux) Key Selection SICAV - Asian Equities (USD) P-acc,UBS (Lux) Key Selection SICAV - Asian Equities (USD),Equities,Pooled vehicles,Common stock,USD
43359089,LU1861215975,BlackRock Global Funds SICAV - Next Generation Technology A2-USD-capitalisation,BlackRock Global Funds SICAV - Next Generation Technology Fund,Equities,Pooled vehicles,Common stock,USD
10873658,ID1000113905,Reg.shs PT Elang Mahkota Teknologi Tbk   (EMTK),PT Elang Mahkota Teknologi Tbk,Equities,Direct investments,Common stock,IDR
21815311,LU0951559797,Robeco Capital Growth Funds SICAV Robeco BP Global Premium Equities D-USD-capitalisation,Robeco Capital Growth Funds SICAV - Robeco BP Global Premium Equities,Equities,Pooled vehicles,Common stock,USD
16003120,QT0160031206,MVPE 2016 L.P. - Multi-Vintage Private Equity Fund 2016 L.P. Net Commitment,MVPE 2016 L.P. - Multi-Vintage Private Equity Fund 2016 L.P. Net Commitment,HF&PM,Pooled vehicles,Private markets,USD
16003121,KYG6362Y1070,MVPE 2016 L.P. - Multi-Vintage Private Equity Fund 2016 L.P. Total Capital Called,MVPE 2016 L.P. - Multi-Vintage Private Equity Fund 2016 L.P. Total Capital Called,HF&PM,Pooled vehicles,Private markets,USD
38497535,US81141R1005,Sponsrd American Depositary Receipt Sea Ltd (Repr 1 Sh) (SE),Sea Ltd,Equities,Direct investments,Common stock,USD
44023672,US88034P1093,Sponsored American Deposit Receipt Tencent Music (Repr. 2 shs -A-)     (TME),Tencent Music Entertainment Group,Equities,Direct investments,Common stock,USD
51116731,KYG017191142,Reg.shs Alibaba Group Holding Ltd Reg S (9988),Alibaba Group Holding Ltd,Equities,Direct investments,Common stock,USD
16004805,QT0160048051,MVPE 2016 L.P. - Multi-Vintage Private Equity Fund 2016 L.P. Unfunded Commitment,MVPE 2016 L.P. - Multi-Vintage Private Equity Fund 2016 L.P. Net Commitment,HF&PM,Pooled vehicles,Private markets,USD
357850,QT0003578504,UBS Call Deposit,FESTGELDANLAGE UBS AG,Liquidity,Direct investments,Call deposit,CHF
2546720,US46428Q1094,iShares Silver Trust,iShares Silver Trust,PMC,Pooled vehicles,Precious metals,USD
47922753,LU1992162443,M&G (LUX) Investment Fds 1 SICAV - M&G (Lux) Optimal Income Fund J-distribution,M&G (LUX) Investment Funds 1 SICAV - M&G (Lux) Optimal Income Fund,Bonds,Pooled vehicles,Others,EUR
110098380,XD1100983802,Blackstone Real Estate Income Trust iCapital Offshore Access Fund SPC A-SP2-series C-dist,Blackstone Real Estate Income Trust iCapital Offshore Access Fund SPC,Real estate,Pooled vehicles,,USD
123722421,LU2564956352,Capital Intl Fd SICAV - Capital Group Multi-Sector Income Fd (LUX) Sgdm-hedged-dis.,Capital International Fund SICAV - Capital Group Multi-Sector Income Fund (LUX),Bonds,Pooled vehicles,Others,USD
128604738,QT1286047381,Blackstone European Property Income Fd SICAV-BEPIF Feeder SICAV-I BSI-global 00-dist,Blackstone European Property Income Fund SICAV - BEPIF Feeder SICAV - I,Real estate,Pooled vehicles,,EUR
110235122,KYG8436B1398,Starwood Real Estate Income Trust Offshore Company SPC SP-RF-accumulation,Starwood Real Estate Income Trust Offshore Fund SPC,Real estate,Pooled vehicles,,USD
111548840,LU2336273995,Invesco Global Real Assets Fund FCP-RAIF - Property Plus Fund Z-capitalisation,Invesco Global Real Assets Fund FCP-RAIF - Invesco Global Property Plus Fund,Real estate,Pooled vehicles,,USD
111547530,LU2336274530,Invesco Global Real Assets Fund FCP-RAIF - Property Plus Fund Z-GQD-USD-distribution,Invesco Global Real Assets Fund FCP-RAIF - Invesco Global Property Plus Fund,Real estate,Pooled vehicles,,USD
1733905,CNE100000338,Shs -H- Great Wall Motor Co. Ltd (2333),Great Wall Motor Co Ltd,Equities,Direct investments,Common stock,CNY
1842714,HK0669013440,Reg.shs Techtronic Industries Co. Ltd           (669),Techtronic Industries Co Ltd,Equities,Direct investments,Common stock,HKD
1714873,CNE1000003X6,Shs -H- Ping An Insurance (Group) Co. of China Ltd (2318),Ping An Insurance (Group) Company of China Ltd,Equities,Direct investments,Common stock,CNY
3851175,HK0388045442,Reg.shs Hong Kong Exchanges and Clearing Ltd   (388),Hong Kong Exchanges and Clearing Ltd,Equities,Direct investments,Common stock,HKD
3179959,KYG8586D1097,Reg.shs Sunny Optical Technology (Group) Co. Ltd   (2382),Sunny Optical Technology (Group) Co Ltd,Equities,Direct investments,Common stock,HKD
3919628,KYG525681477,Reg.shs Kingdee International Software Group Co. Ltd (268),Kingdee International Software Group Co Ltd,Equities,Direct investments,Common stock,HKD
10724764,KYG5635P1090,Reg.shs Longfor Group Holdings Ltd (960),Longfor Group Holdings Limited,Equities,Direct investments,Common stock,HKD
11872025,HK0000069689,Reg.shs AIA Group Ltd (1299),AIA Group Ltd,Equities,Direct investments,Common stock,USD
14425550,KYG211461085,Reg.shs Chow Tai Fook Jewellery Group Ltd           (1929),Chow Tai Fook Jewellery Group Ltd,Equities,Direct investments,Common stock,HKD
2178592,KYG070341048,Reg.shs -A- Baidu Inc. Class -A- (9888),Baidu Inc,Equities,Direct investments,Common stock,USD
24014323,KYG875721634,Reg.shs Tencent Holdings Ltd (700),Tencent Holdings Ltd,Equities,Direct investments,Common stock,HKD
25867521,BMG0171K1018,Reg.shs Alibaba Health Information Technology Ltd (241),Alibaba Health Information Technology Ltd,Equities,Direct investments,Common stock,HKD
27577632,CNE100001TR7,Shs -H- Fuyao Glass Industry Group Co. Ltd Unitary 144A/Reg S   (3606),Fuyao Glass Industry Group Co Ltd,Equities,Direct investments,Common stock,CNY
27576430,CNE100001YQ9,Shs -H- Huatai Securities Co. Ltd Unitary 144A/Reg S (6886),Huatai Securities Co Ltd,Equities,Direct investments,Common stock,CNY
28906749,KYG2118M1096,Reg.shs China Overseas Property Holdings Ltd   (2669),China Overseas Property Holdings Ltd,Equities,Direct investments,Common stock,HKD
34326293,US98980A1051,Sponsored American Deposit Shs ZTO Express (Cayman) Inc. (Repr. 1 shs -A-) (ZTO),ZTO Express (Cayman) Inc,Equities,Direct investments,Common stock,USD
38383802,KYG2177B1014,Reg.shs CK Asset Holdings Limited (1113),CK Asset Holdings Limited,Equities,Direct investments,Common stock,HKD
43648956,KYG4290A1013,Reg.shs Haidilao International Holding Ltd Unitary 144A/Reg S   (6862),Haidilao International Holding Ltd,Equities,Direct investments,Common stock,USD
55256713,KYG8208B1014,Reg.shs -A- JD.com Inc Reg S (9618),JD.com Inc,Equities,Direct investments,Common stock,USD
54540945,IE00BKPSFD61,iShares IV Plc - China CNY Bond UCITS ETF USD-acc,iShares IV PLC - iShares China CNY Bond UCITS ETF,Bonds,Pooled vehicles,Straight bonds,USD
58316884,KYG970081173,Reg.shs WuXi Biologics (Cayman) Inc. Unitary 144A/Reg S (2269),WuXi Biologics (Cayman) Inc.,Equities,Direct investments,Common stock,USD
1735703,CNE100000502,Shs -H- Zijin Mining Group Co. Ltd           (2899),Zijin Mining Group Co Ltd,Equities,Direct investments,Common stock,CNY
421075,HK0291001490,Reg.shs China Resources Beer (Holdings) Co. Ltd (291),China Resources Beer (Holdings) Company Ltd,Equities,Direct investments,Common stock,HKD
4294858,KYG693701156,Reg.shs Parkson Retail Group Ltd (3368),Parkson Retail Group Ltd,Equities,Direct investments,Common stock,HKD
2835185,CNE1000009Q7,Shs -H- China Pacific Insurance (Group) Co. Ltd   (2601),China Pacific Insurance (Group) Co Ltd,Equities,Direct investments,Common stock,CNY
24409862,US01609W1027,Sponsored American Deposit Receipt Shs Alibaba Group Holding Ltd (Repr. 8 shs)     (BABA),Alibaba Group Holding Ltd,Equities,Direct investments,Common stock,USD
43558773,KYG596691041,Reg.shs  -B- Meituan Unitary 144A/Reg S (3690),Meituan,Equities,Direct investments,Common stock,USD
121083620,CNE100004YZ4,Reg.shs  -H- China Tourism Reg S  (1880),China Tourism Group Duty Free Corporation Limited,Equities,Direct investments,Common stock,CNY
22570472,ID1000129802,Reg.shs PT Nipress Tbk (NIPS),PT Nipress Tbk,Equities,Direct investments,Common stock,IDR
833675,CA66987E2069,Reg.shs Novagold Resources Inc. (NG),Novagold Resources Inc,Equities,Direct investments,Common stock,CAD
402331,GB0007323586,Reg.shs Renishaw PLC (RSW),Renishaw PLC,Equities,Direct investments,Common stock,GBP
2676862,SE0000872095,Reg.shs Swedish Orphan Biovitrum AB (SOBI),Swedish Orphan Biovitrum AB,Equities,Direct investments,Common stock,SEK
3471218,BMG0114P1005,Reg.shs African Minerals Ltd,African Minerals Ltd,Equities,Direct investments,Common stock,USD
3469403,FR0010533075,Shs Getlink SE     (GET),Getlink SE,Equities,Direct investments,Common stock,EUR
3023898,ID1000105703,Reg.shs PT Bisi International Tbk (BISI),PT Bisi International Tbk,Equities,Direct investments,Common stock,IDR
10773929,VGG7762V1076,Reg.shs Consolidated Growth Holdings Ltd,Consolidated Growth Holdings Ltd,Equities,Direct investments,Common stock,GBP
12105513,ID1000117708,Reg.shs PT Charoen Pokphand Indonesia Tbk   (CPIN),PT Charoen Pokphand Indonesia Tbk,Equities,Direct investments,Common stock,IDR
25974740,DE000A13SX22,Shs HELLA GmbH & Co. KGaA (HLE),HELLA GmbH & Co. KGaA,Equities,Direct investments,Common stock,EUR
33765401,CA89621C1059,Reg.shs Trilogy Metals Inc. (TMQ),Trilogy Metals Inc,Equities,Direct investments,Common stock,CAD
36427552,IL0011407140,Reg.shs UroGen Pharma Ltd (URGN),UroGen Pharma Ltd,Equities,Direct investments,Common stock,ILS
39040724,GG00BDG13C09,Reg.shs Pacsco  Ltd (PACS),Pacsco Limited,Equities,Direct investments,Common stock,GBP
43756548,US0197701065,Reg.shs Allogene Therapeutics Inc.          (ALLO),Allogene Therapeutics Inc,Equities,Direct investments,Common stock,USD
56799254,US8334451098,Reg.shs -A- Snowflake Inc. (5Q5),Snowflake Inc,Equities,Direct investments,Common stock,USD
57260673,US50107A1043,Reg.shs Kronos Bio Inc (KRON),Kronos Bio Inc,Equities,Direct investments,Common stock,USD
58382412,US0090661010,Reg.shs -A- Airbnb Inc. (ABNB),Airbnb Inc,Equities,Direct investments,Common stock,USD
37627976,GB00BF0F5X78,Reg.shs Contango Holdings Plc (CGO),Contango Holdings PLC,Equities,Direct investments,Common stock,GBP
131406303,DE000UNSE026,Reg.shs Uniper SE After capital reduction (UN0),Uniper SE,Equities,Direct investments,Common stock,EUR
16003342,KYG8548R1056,STRIPE 36 L.P. The Rise Fund Total Capital Called,STRIPE 36 L.P. THE RISE FUND,HF&PM,Pooled vehicles,Private markets,USD
16003341,QT0160033418,STRIPE 36 L.P. The Rise Fund Net Commitment,STRIPE 36 L.P. THE RISE FUND,HF&PM,Pooled vehicles,Private markets,USD
16004110,IE00BJ9TZ493,STRIPE 68 Cl. A - Investing in KKR IV Asian Fund IV SCSp Outstanding Shares,STRIPE 68 Cl. A - Investing in KKR IV Asian Fund IV SCSp Outstanding Shares,HF&PM,Pooled vehicles,Private markets,USD
16004109,QT0160041098,STRIPE 68 Cl. A - Investing in KKR IV Asian Fund IV SCSp Net Commitment,STRIPE 68 Cl. A - Investing in KKR IV Asian Fund IV SCSp Net Commitment,HF&PM,Pooled vehicles,Private markets,USD
16004111,QT0160041114,STRIPE 68 Cl. A - Investing in KKR IV Asian Fund IV SCSp Unfunded Commitment,STRIPE 68 Cl. A - Investing in KKR IV Asian Fund IV SCSp Unfunded Commitment,HF&PM,Pooled vehicles,Private markets,USD
16004188,QT0160041882,"STRIPE 75 Ltd. - Investing in SV Dislocation Fund, L.P. Net Commitment","STRIPE 75 Ltd. - Investing in SV Dislocation Fund, L.P. Net Commitment",HF&PM,Pooled vehicles,Private markets,USD
16004190,QT0160041908,"STRIPE 75 Ltd. - Investing in SV Dislocation Fund, L.P. Unfunded Commitment","STRIPE 75 Ltd. - Investing in SV Dislocation Fund, L.P. Unfunded Commitment",HF&PM,Pooled vehicles,Private markets,USD
16004189,KYG855511021,"STRIPE 75 Ltd. - Investing in SV Dislocation Fund, L.P. Outstanding Shares","STRIPE 75 Ltd. - Investing in SV Dislocation Fund, L.P. Outstanding Shares",HF&PM,Pooled vehicles,Private markets,USD
16004831,QT0160048317,STRIPE 36 L.P. The Rise Fund Unfunded Commitment,STRIPE 36 L.P. THE RISE FUND,HF&PM,Pooled vehicles,Private markets,USD
785274,MYL5487OO003,Reg.shs CHG Industries Bhd,CHG Industries Bhd,Equities,Direct investments,Common stock,MYR
36244719,US69608A1088,Reg.shs -A- Palantir Technologies Inc. (PLTR),Palantir Technologies Inc,Equities,Direct investments,Common stock,USD
11448018,US88160R1014,Reg.shs Tesla Inc. (TSLA),Tesla Inc,Equities,Direct investments,Common stock,USD
45176927,KYG622681008,Reg.shs Mobvista Inc. Unitary Reg S/144A,Mobvista Inc.,Equities,Direct investments,Common stock,USD
105190659,QT1051906597,Rev. Accumulator UBSG 2024-16.06.2025 (ff 12.06.25) PLTR (USD 32.7385/21.816),"UBS AG, Singapore Branch",Equities,OTC ACCU & DEC,Common stock,USD
105193569,QT1051935695,Rev. Accumulator UBSG 2024-30.06.2025 (ff 26.06.25) PLTR (USD 33.7857/22.023),"UBS AG, Singapore Branch",Equities,OTC ACCU & DEC,Common stock,USD
105221781,QT1052217812,"Accumulator UBS AG, SG Br. (SG) 2024-07.10.2025 (ff 06.10.25) PLTR (USD 29.7713/45.54)","UBS AG, Singapore Branch",Equities,OTC ACCU & DEC,Common stock,USD
645156,US0231351067,Reg.shs Amazon.com Inc. (AMZN),Amazon.com Inc,Equities,Direct investments,Common stock,USD
908440,US0378331005,Reg.shs Apple Inc.     (AAPL),Apple Inc,Equities,Direct investments,Common stock,USD
951692,US5949181045,Reg.shs Microsoft Corp. (MSFT),Microsoft Corp,Equities,Direct investments,Common stock,USD
3537013,LU0329593007,BlackRock Global Funds SICAV - World Healthscience Fund D2-capitalisation,BlackRock Global Funds SICAV - World Healthscience Fund,Equities,Pooled vehicles,Common stock,USD
29798545,US02079K1079,Reg.shs -C- Alphabet Inc. non voting (GOOG),Alphabet Inc,Equities,Direct investments,Common stock,USD
30608357,LU1328240616,Morgan Stanley Investment Funds SICAV - Global Brands Fund F-capitalisation,Morgan Stanley Investment Funds SICAV - Global Brands Fund,Equities,Pooled vehicles,Common stock,USD
3697804,DK0060094928,Reg.shs Orsted     (ORSTED),Orsted,Equities,Direct investments,Common stock,DKK
40010114,LU1747734918,AB FCP I FCP - American Income Portfolio W2-capitalisation,AB FCP I FCP - American Income Portfolio,Bonds,Pooled vehicles,Straight bonds,USD
58460132,US7710491033,Reg. shs -A- Roblox Corp. (RBLX),Roblox Corporation,Equities,Direct investments,Common stock,USD
