Persona ,Masked ID,Risk Tolerance,Portfolio CCY,Portfolio Risk Breach,Portfolio Volatility,SAA Portfolio Vol,# of position
Established Investor ,A7GBHDVRRZ8Y774A,D,USD,FALSE,0.098,0.095,30
Established Investor ,ATPBHDVRR2ACLMKA,D,USD,FALSE,0.09,0.095,30
Established Investor ,AUABHDVRR2A4Z5SA,D,USD,FALSE,0.098,0.09,39
Established Investor ,AWKBHDVRR2DZTYYA,D,USD,FALSE,0.089,0.095,36
Established Investor ,AXFBHDVSA5RUNKXA,D,USD,FALSE,0.07,0.09,37
Established Investor ,A2WBHDVRR2FFKQNA,D,USD,FALSE,0.059,0.095,6
Established Investor ,AV3BHDVSZ9GSFLKA,D,USD,FALSE,0.07,0.09,9
Established Investor ,BCTBHDVRR2BHW29A,D,USD,FALSE,0.115,0.095,6
Established Investor ,A3FBHDVSRGFTE49A,D,USD,FALSE,0.102,0.09,9
Established Investor ,BANBHDVR42Z9NXZA,D,USD,FALSE,0.055,0.09,7
Established Investor ,BRLBHDVRR2ER9ZNA,D,USD,FALSE,0.071,0.095,11
Established Investor ,BNBBHDVRR2EZWL6A,D,USD,FALSE,0.14,0.095,29
Established Investor ,AUJBHDVRR2C2TQUA,D,USD,FALSE,0.097,0.095,18
Established Investor ,A3GBHDVS6BD6NEEA,D,USD,FALSE,0.08,0.09,5
Established Investor ,AZXBHDVTZSRT5RHA,D,USD,FALSE,0.065,0.095,11
Established Investor ,A6ZBHDVRR2DBNCMA,D,USD,FALSE,0.078,0.09,28
Established Investor ,BAJBHDVRR2EWG2AA,D,USD,FALSE,0.052,0.09,14
Established Investor ,A5MBHDVVE3M58U4A,D,USD,FALSE,0.145,0.09,20
Established Investor ,A8WBHDVVAM6GLWDA,D,SGD,FALSE,0.068,0.084,12
Established Investor ,A8ZBHDVTZEURRHQA,D,USD,FALSE,0.075,0.095,6
Established Investor ,BH5BHDVSR9576KXA,D,USD,FALSE,0.08,0.095,7
Established Investor ,A2PBHDVRR2CQCENA,D,USD,FALSE,0.082,0.09,16
Established Investor ,BJVBHDVRRZ8RA3TA,D,USD,FALSE,0.062,0.095,6
Established Investor ,BA4BHDVRR2J7JYPA,D,EUR,FALSE,0.096,0.087,9
Reactive Investor,BDUBHDVRR2FB9BEA,F,USD,TRUE,0.308,0.152,62
Reactive Investor,A4BBHDVR5RUT4PUA,F,USD,TRUE,0.316,0.152,16
Reactive Investor,A3FBHDVRR2FKRHHA,F,USD,TRUE,0.299,0.152,22
Reactive Investor,A4NBHDVRR2F5P8KA,F,USD,TRUE,0.245,0.152,29
Reactive Investor,A4UBHDVRR2FXXDSA,F,USD,TRUE,0.333,0.152,15
Reactive Investor,A76BHDVRR2FYH9EA,F,USD,TRUE,0.265,0.152,26
Reactive Investor,BKBBHDVRR2CD38CA,F,USD,TRUE,0.278,0.152,31
Reactive Investor,AZ2BHDVRR2C2DNYA,F,USD,TRUE,0.272,0.152,35
Reactive Investor,AZ4BHDVSHCDVPJMA,F,USD,TRUE,0.251,0.152,38
Reactive Investor,AW5BHDVS88K4TSNA,F,USD,TRUE,0.25,0.152,18
Reactive Investor,AYFBHDVSQYG9DN6A,F,USD,TRUE,0.241,0.152,34
Reactive Investor,A5NBHDVRR2D94D4A,F,USD,TRUE,0.492,0.152,25
Reactive Investor,A3XBHDVT653CGGDA,F,USD,TRUE,0.262,0.152,19
Reactive Investor,A62BHDVRR2EM3Y6A,F,USD,TRUE,0.262,0.152,17
Reactive Investor,AV3BHDVSPBDR2USA,F,USD,TRUE,0.323,0.152,34
Reactive Investor,A4XBHDVRR2GDW64A,F,USD,TRUE,0.346,0.152,10
Reactive Investor,A4HBHDVRR2FMQXGA,F,USD,TRUE,0.459,0.152,10
Reactive Investor,A6DBHDVVDUJT5G5A,F,USD,TRUE,0.276,0.152,12
Reactive Investor,AULBHDVRR2EP38MA,F,USD,TRUE,0.255,0.152,10
Reactive Investor,A5VBHDVRR2EJAPZA,F,USD,TRUE,0.361,0.152,10
Reactive Investor,BH2BHDVRR2AZFH3A,F,USD,TRUE,0.285,0.152,14
Reactive Investor,A2JBHDVRR2FK5VWA,F,USD,TRUE,0.432,0.152,12
Reactive Investor,BHHBHDVR6LEEXFZA,F,USD,TRUE,0.293,0.152,12
