Pos as of Date ,Masked ID,Position Type,Valor of the instrument (for SEC only),Market Value of the instrument,Instrument Ccy
Nov-24,A2JBHDVRR2FK5VWA,SEC,12438228,82443,SGD
Nov-24,A2JBHDVRR2FK5VWA,SEC,20086074,60010,IDR
Nov-24,A2JBHDVRR2FK5VWA,SEC,26033639,137819,HKD
Nov-24,A2JBHDVRR2FK5VWA,SEC,38584636,98810,USD
Nov-24,A2JBHDVRR2FK5VWA,Cash,100,0,CNY
Nov-24,A2JBHDVRR2FK5VWA,Cash,100,9171.5,SGD
Nov-24,A2JBHDVRR2FK5VWA,Cash,100,0,IDR
Nov-24,A2JBHDVRR2FK5VWA,Cash,100,14877.31,USD
Nov-24,A2JBHDVRR2FK5VWA,Cash,100,116.74,HKD
Nov-24,A2JBHDVRR2FK5VWA,Cash,100,0,EUR
Nov-24,A2JBHDVRR2FK5VWA,Cash,100,0,JPY
Nov-24,A2PBHDVRR2CQCENA,SEC,591600,337440,AUD
Nov-24,A2PBHDVRR2CQCENA,SEC,591600,122659,USD
Nov-24,A2PBHDVRR2CQCENA,SEC,411161,37640,HKD
Nov-24,A2PBHDVRR2CQCENA,SEC,2195292,20830,HKD
Nov-24,A2PBHDVRR2CQCENA,SEC,27931966,1393,HKD
Nov-24,A2PBHDVRR2CQCENA,SEC,36415859,349515,USD
Nov-24,A2PBHDVRR2CQCENA,SEC,41207670,71124,USD
Nov-24,A2PBHDVRR2CQCENA,SEC,56801627,8949,USD
Nov-24,A2PBHDVRR2CQCENA,SEC,132899372,99553,USD
Nov-24,A2PBHDVRR2CQCENA,Cash,100,4194.72,HKD
Nov-24,A2PBHDVRR2CQCENA,Cash,100,0,EUR
Nov-24,A2PBHDVRR2CQCENA,Cash,100,-41.05,USD
Nov-24,A2PBHDVRR2CQCENA,Cash,100,0,AUD
Nov-24,A2PBHDVRR2CQCENA,Cash,100,0,NZD
Nov-24,A2PBHDVRR2CQCENA,Cash,100,0,GBP
Nov-24,A2WBHDVRR2FFKQNA,SEC,29558853,11190,SGD
Nov-24,A2WBHDVRR2FFKQNA,Cash,100,0,USD
Nov-24,A2WBHDVRR2FFKQNA,Cash,100,0,EUR
Nov-24,A2WBHDVRR2FFKQNA,Cash,100,1195.24,SGD
Nov-24,A2WBHDVRR2FFKQNA,Cash,100,0,HKD
